真实标签,情感分析,预测标签,文本内容
fake,中性,fake,refugees_1...
fake,正面,fake,Willkommen..!! http://t.co/yLvLNMr1pW...
fake,中性,fake,Bienvenue en Allemagne  https://t.co/GEYeww6gz5...
fake,负面,fake,RT @Megafauna2: @AmyMek @anonym_exmuslim @creepingsharia @barenakedislam @iammrsc THIS is what happens when U let in 2 many Muslims! https:......
fake,正面,real,@IEarthPictures: Unbelievable Shot Of The 2012 Supermoon In Rio de Janeiro. http://t.co/0JIGcCL3q0 where the heck was I for this?...
fake,正面,fake,Dude I love to snowboard but this girl is my hero dude didn't even know about the bear... crazy https://t.co/OnfU8uTfjI...
fake,负面,fake,"ביזה באוקראינה
The unknown soldier steal geese from Crimean Tatars #Ukraine #Crimea http://t.co/LKmgorTLuQ..."
fake,负面,fake,Little Syrian girl sells chewing gum on the street so she can feed herself... https://t.co/pGhagPBxHb...
real,负面,real,#refugees wait to enter a refugee camp in Gevgelija #Macedonia. For @nytimes @nytimesphoto  https://t.co/sczah03cMb http://t.co/XeX2aKLUdh...
real,负面,fake,RT @HumzaYousaf: For those think refugees come Europe for life of luxury -does this look like luxury? We wouldn't last a day in camps http:......
real,正面,real,"RT @BabarBloch: Hegyeshalom, #Hungary: Refugees long walk to freedom. #Europe provides sanctuary http://t.co/b093HjKA4A..."
real,负面,real,RT @Refugees: Today Mediterranean sea arrivals to Europe reach 1 million. 49% are from Syria.  https://t.co/nAUZy25H5X https://t.co/RgJ89LH......
real,负面,fake,Titta på barnen. De satt närmare 30 barn i den här båten. Barn som flyr i en överfull båt över havet. https://t.co/YtTfJxXh6d...
real,负面,real,RT @Refugees: Vulnerable refugees + migrants are in need of protection + assistance. Our strategy: https://t.co/3PNso9q8nT #Europe https://......
real,负面,real,RT @UNRefugeeAgency: These Photos Show Another Face Of The #RefugeeCrisis: https://t.co/SDiePXmOnT #supportrefugees #refugees https://t.co/......
real,负面,fake,godless people of Syria https://t.co/yhByc45Lgt...
